timestamp,solar_generation_kwh,solar_radiation,cloud_cover_percent,temperature_celsius,hour_of_day
2015-01-01 07:00:00,0.0081,0.06899999999999999,54,8.47,7
2015-01-01 08:00:00,0.0887,0.064,52,11.47,8
2015-01-01 09:00:00,0.2429,0.2261666666666667,41,10.94,9
2015-01-01 10:00:00,0.386,0.37399999999999994,34,13.44,10
2015-01-01 11:00:00,0.4816,0.40950000000000003,37,14.26,11
2015-01-01 12:00:00,0.4016,0.7224999999999999,15,15.77,12
2015-01-01 13:00:00,0.2615,0.765,10,16.42,13
2015-01-01 14:00:00,0.0856,0.4933333333333333,26,16.68,14
2015-01-01 15:00:00,0.0057,0.3966666666666666,30,14.65,15
2015-01-01 16:00:00,0.0,0.21,30,15.46,16
2015-01-01 17:00:00,0.0,0.10049999999999999,33,11.48,17
2015-01-01 18:00:00,0.0,0.0,25,13.45,18
2015-01-01 19:00:00,0.0,0.038000000000000006,62,10.73,19
2015-01-01 20:00:00,0.0,0.008166666666666666,51,7.96,20
2015-01-01 21:00:00,0.0,0.030666666666666665,54,10.2,21
2015-01-01 22:00:00,0.0,0.0,46,9.3,22
2015-01-01 23:00:00,0.0,0.014,58,6.87,23
2015-01-02 00:00:00,0.0,0.0,68,4.37,0
2015-01-02 01:00:00,0.0,0.0,60,4.68,1
2015-01-02 02:00:00,0.0,0.0,74,5.42,2
2015-01-02 03:00:00,0.0,0.0,63,5.79,3
2015-01-02 04:00:00,0.0,0.0,63,7.72,4
2015-01-02 05:00:00,0.0,0.0,61,5.56,5
2015-01-02 06:00:00,0.0,0.0,75,8.38,6
2015-01-02 07:00:00,0.0044,0.064,52,7.8,7
2015-01-02 08:00:00,0.0289,0.18699999999999997,34,10.6,8
2015-01-02 09:00:00,0.0765,0.18333333333333332,50,9.85,9
2015-01-02 10:00:00,0.1448,0.5003333333333333,21,12.53,10
2015-01-02 11:00:00,0.198,0.48,28,13.07,11
2015-01-02 12:00:00,0.2179,0.7508333333333332,15,9.9,12
2015-01-02 13:00:00,0.1551,0.672,16,15.16,13
2015-01-02 14:00:00,0.0592,0.4179999999999999,34,12.99,14
2015-01-02 15:00:00,0.0052,0.25416666666666665,39,15.03,15
2015-01-02 16:00:00,0.0,0.183,39,11.7,16
2015-01-02 17:00:00,0.0,0.08266666666666667,38,13.08,17
2015-01-02 18:00:00,0.0,0.0,39,13.36,18
2015-01-02 19:00:00,0.0,0.0,38,9.1,19
2015-01-02 20:00:00,0.0,0.018000000000000002,46,9.08,20
2015-01-02 21:00:00,0.0,0.0,58,8.28,21
2015-01-02 22:00:00,0.0,0.008666666666666666,74,7.38,22
2015-01-02 23:00:00,0.0,0.005833333333333333,65,3.06,23
2015-01-03 00:00:00,0.0,0.0,54,4.02,0
2015-01-03 01:00:00,0.0,0.0,69,5.45,1
2015-01-03 02:00:00,0.0,0.0,64,6.45,2
2015-01-03 03:00:00,0.0,0.0,68,4.47,3
2015-01-03 04:00:00,0.0,0.003833333333333333,77,4.05,4
2015-01-03 05:00:00,0.0,0.003833333333333333,77,6.08,5
2015-01-03 06:00:00,0.0,0.0,68,5.21,6
2015-01-03 07:00:00,0.0085,0.06533333333333334,44,10.59,7
